site_id|config_id|run_id|stat_id|stat_name|stat_waits|stat_total_wts|stat_avg_wtms|stat_dbtime_pct|stat_avg_acts|start_time
37|1|2|265445|Concurrency|21439205|1318|0|.74|.17|06-OCT-14 08.00.00.000000 AM
37|1|2|265438|DB CPU||55201||30.53|7.66|06-OCT-14 08.00.00.000000 AM
37|1|2|265440|Other|56294853|44477|.75|23.89|6.17|06-OCT-14 08.00.00.000000 AM
37|1|2|265448|Administrative|7|1|150.67|0|0|06-OCT-14 08.00.00.000000 AM
37|1|2|265439|User I/O|72869277|60211|1|33.24|8.37|06-OCT-14 08.00.00.000000 AM
37|1|2|265444|Commit|574314|1382|2.13|.78|.22|06-OCT-14 08.00.00.000000 AM
37|1|2|265447|Configuration|7645|21|2.63|0|0|06-OCT-14 08.00.00.000000 AM
37|1|2|265443|System I/O|2328589|3397|1.25|1.88|.49|06-OCT-14 08.00.00.000000 AM
37|1|2|265441|Cluster|77597355|21402|0|11.83|2.98|06-OCT-14 08.00.00.000000 AM
37|1|2|265442|Application|291414|7313|25.31|4.04|1.01|06-OCT-14 08.00.00.000000 AM
37|1|2|265446|Network|61557792|703|0|.39|.1|06-OCT-14 08.00.00.000000 AM
37|1|1|265445|Concurrency|18048714|796|0|.64|.11|03-OCT-14 08.00.00.000000 AM
37|1|1|265440|Other|47741188|27111|.75|21.18|3.77|03-OCT-14 08.00.00.000000 AM
37|1|1|265444|Commit|499391|867|2.06|.71|.11|03-OCT-14 08.00.00.000000 AM
37|1|1|265439|User I/O|56601258|43883|1|34.92|6.09|03-OCT-14 08.00.00.000000 AM
37|1|1|265442|Application|316517|7221|22.81|5.77|1|03-OCT-14 08.00.00.000000 AM
37|1|1|265441|Cluster|61369225|11573|0|9.24|1.61|03-OCT-14 08.00.00.000000 AM
37|1|1|265447|Configuration|5710|16|2.75|.01|0|03-OCT-14 08.00.00.000000 AM
37|1|1|265438|DB CPU||41120||32.81|5.7|03-OCT-14 08.00.00.000000 AM
37|1|1|265443|System I/O|2010342|2530|1|2.03|.35|03-OCT-14 08.00.00.000000 AM
37|1|1|265446|Network|48760943|511|0|.41|.1|03-OCT-14 08.00.00.000000 AM
37|1|1|265448|Administrative|215|38|170.6|.03|.01|03-OCT-14 08.00.00.000000 AM
37|1|6|265439|User I/O|62907819|51268|1|34.13|7.11|10-OCT-14 08.00.00.000000 AM
37|1|6|265442|Application|277241|7187|26|4.79|1|10-OCT-14 08.00.00.000000 AM
37|1|6|265445|Concurrency|19427411|1044|0|.69|.13|10-OCT-14 08.00.00.000000 AM
37|1|6|265438|DB CPU||46843||31.23|6.51|10-OCT-14 08.00.00.000000 AM
37|1|6|265444|Commit|527677|1069|2.06|.73|.13|10-OCT-14 08.00.00.000000 AM
37|1|6|265443|System I/O|2160746|2927|1|1.95|.41|10-OCT-14 08.00.00.000000 AM
37|1|6|265440|Other|51734820|36346|.75|23.68|5.05|10-OCT-14 08.00.00.000000 AM
37|1|6|265441|Cluster|63757818|13594|0|9.06|1.89|10-OCT-14 08.00.00.000000 AM
37|1|6|265446|Network|55123223|588|0|.4|.1|10-OCT-14 08.00.00.000000 AM
37|1|6|265447|Configuration|5997|17|2.81|0|0|10-OCT-14 08.00.00.000000 AM
37|1|6|265448|Administrative|6|1|152.46|0|0|10-OCT-14 08.00.00.000000 AM
37|1|3|265445|Concurrency|20280833|1292|0|.72|.16|07-OCT-14 08.00.00.000000 AM
37|1|3|265438|DB CPU||53826||30.66|7.47|07-OCT-14 08.00.00.000000 AM
37|1|3|265444|Commit|545581|1262|2.06|.73|.17|07-OCT-14 08.00.00.000000 AM
37|1|3|265441|Cluster|65745250|15750|0|8.97|2.19|07-OCT-14 08.00.00.000000 AM
37|1|3|265448|Administrative|148|27|170.06|.02|.01|07-OCT-14 08.00.00.000000 AM
37|1|3|265439|User I/O|66180246|59383|1|33.74|8.25|07-OCT-14 08.00.00.000000 AM
37|1|3|265440|Other|54046965|43393|.81|24.04|6.03|07-OCT-14 08.00.00.000000 AM
37|1|3|265442|Application|259591|7409|28.88|4.22|1.01|07-OCT-14 08.00.00.000000 AM
37|1|3|265447|Configuration|7555|21|2.81|0|0|07-OCT-14 08.00.00.000000 AM
37|1|3|265443|System I/O|2271246|3246|1.19|1.84|.44|07-OCT-14 08.00.00.000000 AM
37|1|3|265446|Network|61477116|678|0|.4|.1|07-OCT-14 08.00.00.000000 AM
37|1|5|265448|Administrative|6|1|148.81|0|0|09-OCT-14 08.00.00.000000 AM
37|1|5|265440|Other|53814637|39659|.75|22.79|5.51|09-OCT-14 08.00.00.000000 AM
37|1|5|265442|Application|264654|7050|26.81|4.14|1|09-OCT-14 08.00.00.000000 AM
37|1|5|265439|User I/O|67713219|59660|1|34.98|8.28|09-OCT-14 08.00.00.000000 AM
37|1|5|265444|Commit|558407|1328|2.13|.79|.19|09-OCT-14 08.00.00.000000 AM
37|1|5|265447|Configuration|7353|19|2.69|0|0|09-OCT-14 08.00.00.000000 AM
37|1|5|265445|Concurrency|20301865|1143|0|.66|.16|09-OCT-14 08.00.00.000000 AM
37|1|5|265446|Network|59464260|676|0|.4|.1|09-OCT-14 08.00.00.000000 AM
37|1|5|265438|DB CPU||52973||31.09|7.36|09-OCT-14 08.00.00.000000 AM
37|1|5|265441|Cluster|67877616|16140|0|9.47|2.23|09-OCT-14 08.00.00.000000 AM
37|1|5|265443|System I/O|2248447|3338|1.38|1.96|.47|09-OCT-14 08.00.00.000000 AM
37|1|4|265444|Commit|546946|1253|2.06|.74|.16|08-OCT-14 08.00.00.000000 AM
37|1|4|265445|Concurrency|20518384|1350|0|.78|.18|08-OCT-14 08.00.00.000000 AM
37|1|4|265438|DB CPU||52496||30.72|7.28|08-OCT-14 08.00.00.000000 AM
37|1|4|265447|Configuration|7606|23|3|0|0|08-OCT-14 08.00.00.000000 AM
37|1|4|265446|Network|61336551|1006|0|.6|.11|08-OCT-14 08.00.00.000000 AM
37|1|4|265448|Administrative|7|1|152|0|0|08-OCT-14 08.00.00.000000 AM
37|1|4|265443|System I/O|2273858|3266|1.19|1.92|.44|08-OCT-14 08.00.00.000000 AM
37|1|4|265439|User I/O|65246012|55208|1|32.28|7.66|08-OCT-14 08.00.00.000000 AM
37|1|4|265440|Other|54566361|43481|.81|24.82|6.03|08-OCT-14 08.00.00.000000 AM
37|1|4|265441|Cluster|66640148|16192|0|9.47|2.26|08-OCT-14 08.00.00.000000 AM
37|1|4|265442|Application|274856|7714|28.25|4.53|1.08|08-OCT-14 08.00.00.000000 AM
37|1|7|265438|DB CPU||51771||30.17|7.19|13-OCT-14 08.00.00.000000 AM
37|1|7|265442|Application|289994|7559|26.31|4.39|1.04|13-OCT-14 08.00.00.000000 AM
37|1|7|265439|User I/O|67966932|56580|1|32.93|7.86|13-OCT-14 08.00.00.000000 AM
37|1|7|265441|Cluster|75427330|19126|0|11.14|2.66|13-OCT-14 08.00.00.000000 AM
37|1|7|265443|System I/O|2318645|3278|1.19|1.91|.44|13-OCT-14 08.00.00.000000 AM
37|1|7|265447|Configuration|6888|19|2.75|0|0|13-OCT-14 08.00.00.000000 AM
37|1|7|265448|Administrative|5|1|140|0|0|13-OCT-14 08.00.00.000000 AM
37|1|7|265446|Network|61546818|695|0|.41|.1|13-OCT-14 08.00.00.000000 AM
37|1|7|265445|Concurrency|20959175|1149|0|.67|.15|13-OCT-14 08.00.00.000000 AM
37|1|7|265440|Other|54815691|42877|.81|24.39|5.96|13-OCT-14 08.00.00.000000 AM
37|1|7|265444|Commit|572930|1291|2.06|.75|.19|13-OCT-14 08.00.00.000000 AM
37|1|11|265438|DB CPU||48028||32.19|6.68|17-OCT-14 08.00.00.000000 AM
37|1|11|265440|Other|49688142|32965|.75|21.51|4.58|17-OCT-14 08.00.00.000000 AM
37|1|11|265442|Application|274759|7376|27.06|4.94|1|17-OCT-14 08.00.00.000000 AM
37|1|11|265439|User I/O|58632716|48567|1|32.58|6.74|17-OCT-14 08.00.00.000000 AM
37|1|11|265445|Concurrency|18542760|873|0|.58|.12|17-OCT-14 08.00.00.000000 AM
37|1|11|265446|Network|55281502|693|0|.45|.1|17-OCT-14 08.00.00.000000 AM
37|1|11|265444|Commit|561900|1132|2.06|.77|.15|17-OCT-14 08.00.00.000000 AM
37|1|11|265441|Cluster|78490907|18659|0|12.51|2.59|17-OCT-14 08.00.00.000000 AM
37|1|11|265443|System I/O|2194332|3021|1|2.03|.41|17-OCT-14 08.00.00.000000 AM
37|1|11|265448|Administrative|178|30|167.5|.02|.01|17-OCT-14 08.00.00.000000 AM
37|1|11|265447|Configuration|5940|16|2.63|0|0|17-OCT-14 08.00.00.000000 AM
37|1|12|265438|DB CPU||54733||39.79|7.61|20-OCT-14 08.00.00.000000 AM
37|1|12|265439|User I/O|69721425|57747|1|41.93|8.01|20-OCT-14 08.00.00.000000 AM
37|1|12|265447|Configuration|7804|21|2.69|0|0|20-OCT-14 08.00.00.000000 AM
37|1|12|265441|Cluster|84662073|21137|0|15.38|2.94|20-OCT-14 08.00.00.000000 AM
37|1|12|265443|System I/O|2420765|3488|1.19|2.54|.5|20-OCT-14 08.00.00.000000 AM
37|1|12|265444|Commit|942128|1598|1.69|1.16|.23|20-OCT-14 08.00.00.000000 AM
37|1|12|265445|Concurrency|2221230|963|.25|.69|.13|20-OCT-14 08.00.00.000000 AM
37|1|12|265440|Other|8643353|3698|.38|2.51|.51|20-OCT-14 08.00.00.000000 AM
37|1|12|265448|Administrative|9|2|186.44|0|0|20-OCT-14 08.00.00.000000 AM
37|1|12|265442|Application|256693|6304|24.63|4.59|.9|20-OCT-14 08.00.00.000000 AM
37|1|12|265446|Network|62505620|710|0|.53|.1|20-OCT-14 08.00.00.000000 AM
37|1|9|265445|Concurrency|20013599|1117|0|.64|.14|15-OCT-14 08.00.00.000000 AM
37|1|9|265447|Configuration|7803|21|2.69|0|0|15-OCT-14 08.00.00.000000 AM
37|1|9|265438|DB CPU||53937||31.66|7.49|15-OCT-14 08.00.00.000000 AM
37|1|9|265439|User I/O|57337312|49306|1|28.95|6.86|15-OCT-14 08.00.00.000000 AM
37|1|9|265441|Cluster|83964863|24265|0|14.24|3.38|15-OCT-14 08.00.00.000000 AM
37|1|9|265444|Commit|607232|1322|2.06|.78|.17|15-OCT-14 08.00.00.000000 AM
37|1|9|265448|Administrative|7|1|159.33|0|0|15-OCT-14 08.00.00.000000 AM
37|1|9|265446|Network|60622435|682|0|.41|.1|15-OCT-14 08.00.00.000000 AM
37|1|9|265443|System I/O|2378609|3336|1|1.96|.46|15-OCT-14 08.00.00.000000 AM
37|1|9|265440|Other|52376035|40634|.75|23.13|5.63|15-OCT-14 08.00.00.000000 AM
37|1|9|265442|Application|279221|7885|28.44|4.63|1.1|15-OCT-14 08.00.00.000000 AM
37|1|8|265445|Concurrency|19988637|993|0|.59|.13|14-OCT-14 08.00.00.000000 AM
37|1|8|265446|Network|60225242|676|0|.41|.1|14-OCT-14 08.00.00.000000 AM
37|1|8|265447|Configuration|7480|23|2.94|0|0|14-OCT-14 08.00.00.000000 AM
37|1|8|265438|DB CPU||52363||31.52|7.28|14-OCT-14 08.00.00.000000 AM
37|1|8|265441|Cluster|87507754|24168|0|14.56|3.34|14-OCT-14 08.00.00.000000 AM
37|1|8|265440|Other|52511583|39997|.75|23.41|5.55|14-OCT-14 08.00.00.000000 AM
37|1|8|265442|Application|255490|7264|28.69|4.37|1|14-OCT-14 08.00.00.000000 AM
37|1|8|265443|System I/O|2343173|3255|1|1.96|.44|14-OCT-14 08.00.00.000000 AM
37|1|8|265448|Administrative|126|20|152.19|.01|0|14-OCT-14 08.00.00.000000 AM
37|1|8|265439|User I/O|59569715|49466|1|29.82|6.87|14-OCT-14 08.00.00.000000 AM
37|1|8|265444|Commit|583440|1235|2.06|.76|.15|14-OCT-14 08.00.00.000000 AM
37|1|10|265440|Other|50151258|36619|.75|21.48|5.1|16-OCT-14 08.00.00.000000 AM
37|1|10|265443|System I/O|2294079|3304|1.13|2|.46|16-OCT-14 08.00.00.000000 AM
37|1|10|265439|User I/O|62057562|52008|1|31.29|7.24|16-OCT-14 08.00.00.000000 AM
37|1|10|265446|Network|59540942|690|0|.42|.1|16-OCT-14 08.00.00.000000 AM
37|1|10|265441|Cluster|85703156|23850|0|14.34|3.32|16-OCT-14 08.00.00.000000 AM
37|1|10|265442|Application|249886|7177|28.94|4.32|1|16-OCT-14 08.00.00.000000 AM
37|1|10|265444|Commit|593188|1288|2.06|.79|.15|16-OCT-14 08.00.00.000000 AM
37|1|10|265447|Configuration|6840|20|2.81|0|0|16-OCT-14 08.00.00.000000 AM
37|1|10|265448|Administrative|7|1|159.5|0|0|16-OCT-14 08.00.00.000000 AM
37|1|10|265438|DB CPU||53561||32.23|7.44|16-OCT-14 08.00.00.000000 AM
37|1|10|265445|Concurrency|19150792|945|0|.56|.12|16-OCT-14 08.00.00.000000 AM
37|1|17|265440|Other|8956012|4031|.38|2.55|.58|27-OCT-14 08.00.00.000000 AM
37|1|17|265443|System I/O|2455134|3842|1.75|2.58|.53|27-OCT-14 08.00.00.000000 AM
37|1|17|265439|User I/O|70051380|61636|1|41.33|8.56|27-OCT-14 08.00.00.000000 AM
37|1|17|265446|Network|66827641|776|0|.52|.1|27-OCT-14 08.00.00.000000 AM
37|1|17|265438|DB CPU||58749||39.44|8.16|27-OCT-14 08.00.00.000000 AM
37|1|17|265441|Cluster|87782867|23905|0|16.06|3.33|27-OCT-14 08.00.00.000000 AM
37|1|17|265447|Configuration|7888|24|3.06|0|0|27-OCT-14 08.00.00.000000 AM
37|1|17|265442|Application|269164|6881|25.69|4.64|.96|27-OCT-14 08.00.00.000000 AM
37|1|17|265444|Commit|952990|1686|1.88|1.13|.23|27-OCT-14 08.00.00.000000 AM
37|1|17|265445|Concurrency|2281640|998|.19|.69|.13|27-OCT-14 08.00.00.000000 AM
37|1|17|265448|Administrative|6|1|157.5|0|0|27-OCT-14 08.00.00.000000 AM
37|1|16|265444|Commit|831313|1182|1.31|1.04|.14|24-OCT-14 08.00.00.000000 AM
37|1|16|265439|User I/O|63601841|49206|1|43.51|6.84|24-OCT-14 08.00.00.000000 AM
37|1|16|265443|System I/O|2174564|3001|1.06|2.68|.4|24-OCT-14 08.00.00.000000 AM
37|1|16|265447|Configuration|5742|13|2.13|0|0|24-OCT-14 08.00.00.000000 AM
37|1|16|265438|DB CPU||47331||41.91|6.57|24-OCT-14 08.00.00.000000 AM
37|1|16|265448|Administrative|8|2|171.38|0|0|24-OCT-14 08.00.00.000000 AM
37|1|16|265442|Application|242399|3478|14.38|3.09|.49|24-OCT-14 08.00.00.000000 AM
37|1|16|265446|Network|52798353|820|0|.72|.1|24-OCT-14 08.00.00.000000 AM
37|1|16|265440|Other|7673685|3234|.19|2.77|.46|24-OCT-14 08.00.00.000000 AM
37|1|16|265441|Cluster|74643012|16072|0|14.24|2.23|24-OCT-14 08.00.00.000000 AM
37|1|16|265445|Concurrency|1864736|687|.06|.6|.09|24-OCT-14 08.00.00.000000 AM
37|1|13|265443|System I/O|2385304|3351|1.06|2.43|.5|21-OCT-14 08.00.00.000000 AM
37|1|13|265447|Configuration|7385|17|2.31|0|0|21-OCT-14 08.00.00.000000 AM
37|1|13|265440|Other|8391337|3659|.38|2.51|.49|21-OCT-14 08.00.00.000000 AM
37|1|13|265448|Administrative|8|2|170.56|0|0|21-OCT-14 08.00.00.000000 AM
37|1|13|265442|Application|255706|5871|23.13|4.26|.81|21-OCT-14 08.00.00.000000 AM
37|1|13|265446|Network|63239599|697|0|.51|.1|21-OCT-14 08.00.00.000000 AM
37|1|13|265444|Commit|940319|1553|1.63|1.13|.22|21-OCT-14 08.00.00.000000 AM
37|1|13|265438|DB CPU||55683||40.28|7.74|21-OCT-14 08.00.00.000000 AM
37|1|13|265439|User I/O|65285924|56420|1|40.77|7.84|21-OCT-14 08.00.00.000000 AM
37|1|13|265445|Concurrency|2205293|1026|.19|.75|.13|21-OCT-14 08.00.00.000000 AM
37|1|13|265441|Cluster|78461507|20102|0|14.54|2.79|21-OCT-14 08.00.00.000000 AM
37|1|14|265442|Application|242284|4222|17.63|3.39|.6|22-OCT-14 08.00.00.000000 AM
37|1|14|265447|Configuration|6732|16|2.44|0|0|22-OCT-14 08.00.00.000000 AM
37|1|14|265445|Concurrency|2057760|889|.19|.69|.12|22-OCT-14 08.00.00.000000 AM
37|1|14|265444|Commit|916136|1463|1.38|1.16|.22|22-OCT-14 08.00.00.000000 AM
37|1|14|265448|Administrative|7|2|200.88|0|0|22-OCT-14 08.00.00.000000 AM
37|1|14|265438|DB CPU||51561||41.14|7.18|22-OCT-14 08.00.00.000000 AM
37|1|14|265440|Other|8029090|3405|.38|2.51|.45|22-OCT-14 08.00.00.000000 AM
37|1|14|265446|Network|59204467|794|0|.64|.1|22-OCT-14 08.00.00.000000 AM
37|1|14|265441|Cluster|69985593|15898|0|12.68|2.2|22-OCT-14 08.00.00.000000 AM
37|1|14|265439|User I/O|57884823|53038|1|42.29|7.36|22-OCT-14 08.00.00.000000 AM
37|1|14|265443|System I/O|2268014|3239|1.13|2.59|.44|22-OCT-14 08.00.00.000000 AM
37|1|15|265438|DB CPU||50839||41.29|7.07|23-OCT-14 08.00.00.000000 AM
37|1|15|265446|Network|55796096|823|0|.66|.1|23-OCT-14 08.00.00.000000 AM
37|1|15|265439|User I/O|65850583|53413|1|43.37|7.42|23-OCT-14 08.00.00.000000 AM
37|1|15|265448|Administrative|8|2|193.81|0|0|23-OCT-14 08.00.00.000000 AM
37|1|15|265440|Other|8046473|3216|.25|2.49|.42|23-OCT-14 08.00.00.000000 AM
37|1|15|265445|Concurrency|1949628|816|.25|.67|.1|23-OCT-14 08.00.00.000000 AM
37|1|15|265441|Cluster|77800448|17053|0|13.85|2.37|23-OCT-14 08.00.00.000000 AM
37|1|15|265444|Commit|890371|1395|1.31|1.13|.21|23-OCT-14 08.00.00.000000 AM
37|1|15|265442|Application|270758|4921|18.25|4.02|.7|23-OCT-14 08.00.00.000000 AM
37|1|15|265443|System I/O|2275338|3169|1.06|2.59|.42|23-OCT-14 08.00.00.000000 AM
37|1|15|265447|Configuration|6147|14|2.19|0|0|23-OCT-14 08.00.00.000000 AM
37|1|21|265441|Cluster|74012814|15591|0|13.09|2.16|31-OCT-14 08.00.00.000000 AM
37|1|21|265447|Configuration|5129|12|2.25|0|0|31-OCT-14 08.00.00.000000 AM
37|1|21|265438|DB CPU||49516||41.53|6.88|31-OCT-14 08.00.00.000000 AM
37|1|21|265445|Concurrency|1995089|1163|.44|.98|.16|31-OCT-14 08.00.00.000000 AM
37|1|21|265439|User I/O|61330092|50933|1|42.66|7.08|31-OCT-14 08.00.00.000000 AM
37|1|21|265442|Application|246257|4421|17.88|3.71|.61|31-OCT-14 08.00.00.000000 AM
37|1|21|265443|System I/O|2244982|3090|1.06|2.59|.41|31-OCT-14 08.00.00.000000 AM
37|1|21|265444|Commit|872465|1275|1.31|1.06|.18|31-OCT-14 08.00.00.000000 AM
37|1|21|265440|Other|7021201|2838|.19|2.21|.38|31-OCT-14 08.00.00.000000 AM
37|1|21|265448|Administrative|5|1|153.94|0|0|31-OCT-14 08.00.00.000000 AM
37|1|21|265446|Network|56098847|608|0|.51|.1|31-OCT-14 08.00.00.000000 AM
37|1|19|265444|Commit|971241|1623|1.63|1.16|.23|29-OCT-14 08.00.00.000000 AM
37|1|19|265438|DB CPU||58375||41.43|8.11|29-OCT-14 08.00.00.000000 AM
37|1|19|265443|System I/O|2472628|3474|1.13|2.49|.5|29-OCT-14 08.00.00.000000 AM
37|1|19|265441|Cluster|77705821|20265|0|14.39|2.83|29-OCT-14 08.00.00.000000 AM
37|1|19|265446|Network|65012321|705|0|.51|.1|29-OCT-14 08.00.00.000000 AM
37|1|19|265447|Configuration|8708|23|2.63|0|0|29-OCT-14 08.00.00.000000 AM
37|1|19|265440|Other|8291731|4028|.38|2.68|.58|29-OCT-14 08.00.00.000000 AM
37|1|19|265448|Administrative|9|2|198.31|0|0|29-OCT-14 08.00.00.000000 AM
37|1|19|265439|User I/O|62961039|54838|1|38.89|7.63|29-OCT-14 08.00.00.000000 AM
37|1|19|265445|Concurrency|2310801|1227|.5|.88|.18|29-OCT-14 08.00.00.000000 AM
37|1|19|265442|Application|310135|6325|20.31|4.49|.9|29-OCT-14 08.00.00.000000 AM
37|1|18|265441|Cluster|83992522|21903|0|15.14|3.04|28-OCT-14 08.00.00.000000 AM
37|1|18|265439|User I/O|68970866|59760|1|41.22|8.3|28-OCT-14 08.00.00.000000 AM
37|1|18|265443|System I/O|2417059|3709|1.63|2.57|.5|28-OCT-14 08.00.00.000000 AM
37|1|18|265446|Network|64305326|803|0|.56|.1|28-OCT-14 08.00.00.000000 AM
37|1|18|265438|DB CPU||57524||39.76|7.98|28-OCT-14 08.00.00.000000 AM
37|1|18|265440|Other|8882996|3896|.38|2.54|.56|28-OCT-14 08.00.00.000000 AM
37|1|18|265442|Application|277121|7156|25.81|4.96|1|28-OCT-14 08.00.00.000000 AM
37|1|18|265444|Commit|924984|1610|1.88|1.11|.23|28-OCT-14 08.00.00.000000 AM
37|1|18|265445|Concurrency|2288291|1156|.31|.81|.16|28-OCT-14 08.00.00.000000 AM
37|1|18|265448|Administrative|15|4|244.25|0|0|28-OCT-14 08.00.00.000000 AM
37|1|18|265447|Configuration|8355|21|2.5|0|0|28-OCT-14 08.00.00.000000 AM
37|1|20|265441|Cluster|80749399|20996|0|14.56|2.91|30-OCT-14 08.00.00.000000 AM
37|1|20|265443|System I/O|2432922|3643|1.31|2.53|.5|30-OCT-14 08.00.00.000000 AM
37|1|20|265439|User I/O|65681434|57627|1|39.91|8.01|30-OCT-14 08.00.00.000000 AM
37|1|20|265442|Application|273269|6386|23.31|4.42|.91|30-OCT-14 08.00.00.000000 AM
37|1|20|265446|Network|62348252|697|0|.48|.1|30-OCT-14 08.00.00.000000 AM
37|1|20|265447|Configuration|7607|15|2|0|0|30-OCT-14 08.00.00.000000 AM
37|1|20|265438|DB CPU||59293||41.16|8.24|30-OCT-14 08.00.00.000000 AM
37|1|20|265444|Commit|924301|1625|1.88|1.13|.23|30-OCT-14 08.00.00.000000 AM
37|1|20|265440|Other|10680106|4057|.25|2.6|.56|30-OCT-14 08.00.00.000000 AM
37|1|20|265445|Concurrency|2294116|1317|.44|.94|.18|30-OCT-14 08.00.00.000000 AM
37|1|20|265448|Administrative|10|2|207.94|0|0|30-OCT-14 08.00.00.000000 AM
37|1|22|265443|System I/O|2469002|3530|1.13|2.53|.5|03-NOV-14 08.00.00.000000 AM
37|1|22|265444|Commit|1004032|1685|1.81|1.21|.23|03-NOV-14 08.00.00.000000 AM
37|1|22|265446|Network|62061810|721|0|.53|.1|03-NOV-14 08.00.00.000000 AM
37|1|22|265438|DB CPU||55642||39.86|7.75|03-NOV-14 08.00.00.000000 AM
37|1|22|265441|Cluster|82430337|21341|0|15.29|2.96|03-NOV-14 08.00.00.000000 AM
37|1|22|265442|Application|296408|6034|20.38|4.32|.84|03-NOV-14 08.00.00.000000 AM
37|1|22|265448|Administrative|7|1|170.94|0|0|03-NOV-14 08.00.00.000000 AM
37|1|22|265439|User I/O|65125766|57529|1|41.16|8|03-NOV-14 08.00.00.000000 AM
37|1|22|265440|Other|8089647|3614|.38|2.41|.49|03-NOV-14 08.00.00.000000 AM
37|1|22|265445|Concurrency|2251278|1030|.25|.73|.13|03-NOV-14 08.00.00.000000 AM
37|1|22|265447|Configuration|7108|22|3.13|0|0|03-NOV-14 08.00.00.000000 AM
37|1|24|265438|DB CPU||54643||39.28|7.59|05-NOV-14 08.00.00.000000 AM
37|1|24|265446|Network|61107685|748|0|.54|.1|05-NOV-14 08.00.00.000000 AM
37|1|24|265439|User I/O|60697699|54657|1|39.2|7.6|05-NOV-14 08.00.00.000000 AM
37|1|24|265445|Concurrency|2482945|1122|.19|.83|.14|05-NOV-14 08.00.00.000000 AM
37|1|24|265443|System I/O|2425773|3448|1.13|2.48|.5|05-NOV-14 08.00.00.000000 AM
37|1|24|265447|Configuration|7150|18|2.5|0|0|05-NOV-14 08.00.00.000000 AM
37|1|24|265448|Administrative|6|1|168.38|0|0|05-NOV-14 08.00.00.000000 AM
37|1|24|265441|Cluster|73891293|20291|0|14.59|2.81|05-NOV-14 08.00.00.000000 AM
37|1|24|265442|Application|254948|5875|23|4.21|.81|05-NOV-14 08.00.00.000000 AM
37|1|24|265440|Other|8379232|6399|.75|4.41|.9|05-NOV-14 08.00.00.000000 AM
37|1|24|265444|Commit|956558|1575|1.44|1.13|.22|05-NOV-14 08.00.00.000000 AM
37|1|25|265447|Configuration|7286|21|2.81|.01|0|06-NOV-14 08.00.00.000000 AM
37|1|25|265438|DB CPU||54131||40.43|7.51|06-NOV-14 08.00.00.000000 AM
37|1|25|265441|Cluster|73160971|18060|0|13.49|2.51|06-NOV-14 08.00.00.000000 AM
37|1|25|265442|Application|294175|5935|20.25|4.43|.83|06-NOV-14 08.00.00.000000 AM
37|1|25|265443|System I/O|2409466|3488|1.25|2.61|.5|06-NOV-14 08.00.00.000000 AM
37|1|25|265448|Administrative|5|1|163.62|0|0|06-NOV-14 08.00.00.000000 AM
37|1|25|265446|Network|60333416|655|0|.49|.1|06-NOV-14 08.00.00.000000 AM
37|1|25|265444|Commit|973090|1626|1.44|1.19|.23|06-NOV-14 08.00.00.000000 AM
37|1|25|265445|Concurrency|2241702|940|.19|.71|.13|06-NOV-14 08.00.00.000000 AM
37|1|25|265439|User I/O|60925262|55331|1|41.24|7.68|06-NOV-14 08.00.00.000000 AM
37|1|25|265440|Other|7851340|3491|.38|2.41|.48|06-NOV-14 08.00.00.000000 AM
37|1|23|265438|DB CPU||57072||20.17|7.93|04-NOV-14 08.00.00.000000 AM
37|1|23|265448|Administrative|5|1|154.23|0|0|04-NOV-14 08.00.00.000000 AM
37|1|23|265441|Cluster|85763053|69824|1|24.53|9.69|04-NOV-14 08.00.00.000000 AM
37|1|23|265445|Concurrency|7071931|2202|0|.78|.31|04-NOV-14 08.00.00.000000 AM
37|1|23|265446|Network|59999923|723|0|.25|.1|04-NOV-14 08.00.00.000000 AM
37|1|23|265440|Other|21090297|79684|3.75|28.12|11.06|04-NOV-14 08.00.00.000000 AM
37|1|23|265442|Application|281069|24166|86.06|8.54|3.35|04-NOV-14 08.00.00.000000 AM
37|1|23|265444|Commit|923482|1499|1.44|.54|.22|04-NOV-14 08.00.00.000000 AM
37|1|23|265447|Configuration|7335|19|2.69|0|0|04-NOV-14 08.00.00.000000 AM
37|1|23|265439|User I/O|64702553|54993|1|19.44|7.63|04-NOV-14 08.00.00.000000 AM
37|1|23|265443|System I/O|2440274|3439|1.13|1.21|.5|04-NOV-14 08.00.00.000000 AM
37|1|26|265440|Other|8669134|4047|.38|2.58|.58|10-NOV-14 08.00.00.000000 AM
37|1|26|265443|System I/O|2491268|3608|1.19|2.48|.51|10-NOV-14 08.00.00.000000 AM
37|1|26|265444|Commit|990840|1697|1.81|1.15|.23|10-NOV-14 08.00.00.000000 AM
37|1|26|265446|Network|63749925|709|0|.48|.1|10-NOV-14 08.00.00.000000 AM
37|1|26|265439|User I/O|66407458|59412|1|40.68|8.26|10-NOV-14 08.00.00.000000 AM
37|1|26|265442|Application|303962|7030|23.13|4.81|1|10-NOV-14 08.00.00.000000 AM
37|1|26|265445|Concurrency|2406266|1141|.25|.78|.14|10-NOV-14 08.00.00.000000 AM
37|1|26|265441|Cluster|81168264|21644|0|14.85|3.01|10-NOV-14 08.00.00.000000 AM
37|1|26|265438|DB CPU||57619||39.49|8|10-NOV-14 08.00.00.000000 AM
37|1|26|265447|Configuration|6822|18|2.69|0|0|10-NOV-14 08.00.00.000000 AM
